,city,latitude,longitude,province,unnamed: 4,unnamed: 5,year,violations,incidents,rates,matched_geo_name,total_population,total_private_dwellings,population_density,pct_0_14,pct_15_64,pct_65_plus,avg_age,median_age,median_income,avg_income,low_income_households,total_visible_minority,not_visible_minority,no_diploma,highschool,post_secondary
780,Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Membertou 28B,1015.0,349.0,686.1,295,660,55,29.8,26.9,41152,49732,0,0,1010,185,170,365
781,Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2013,Total violent Criminal Code violations [100],,,Membertou 28B,1015.0,349.0,686.1,295,660,55,29.8,26.9,41152,49732,0,0,1010,185,170,365
782,Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2013,Total property crime violations [200],,,Membertou 28B,1015.0,349.0,686.1,295,660,55,29.8,26.9,41152,49732,0,0,1010,185,170,365
783,Membertou,46.1151,-60.1894,Nova Scotia,Royal Canadian Mounted Police,rural [12017],2013,Total other Criminal Code violations [300],,,Membertou 28B,1015.0,349.0,686.1,295,660,55,29.8,26.9,41152,49732,0,0,1010,185,170,365
784,Cape Breton Region,45.9614,-60.2763,Nova Scotia,municipal [12018],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",5269.0,5333.16,Cape Breton,94285.0,45742.0,38.8,12350,59620,22310,46.1,50,53833,68465,92550,2415,90140,18385,21420,40405
785,Cape Breton Region,45.9614,-60.2763,Nova Scotia,municipal [12018],,2013,Total violent Criminal Code violations [100],859.0,869.46,Cape Breton,94285.0,45742.0,38.8,12350,59620,22310,46.1,50,53833,68465,92550,2415,90140,18385,21420,40405
786,Cape Breton Region,45.9614,-60.2763,Nova Scotia,municipal [12018],,2013,Total property crime violations [200],3643.0,3687.36,Cape Breton,94285.0,45742.0,38.8,12350,59620,22310,46.1,50,53833,68465,92550,2415,90140,18385,21420,40405
787,Cape Breton Region,45.9614,-60.2763,Nova Scotia,municipal [12018],,2013,Total other Criminal Code violations [300],767.0,776.34,Cape Breton,94285.0,45742.0,38.8,12350,59620,22310,46.1,50,53833,68465,92550,2415,90140,18385,21420,40405
788,Halifax,44.6509,-63.5923,Nova Scotia,municipal [12020],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Halifax,403131.0,187338.0,73.4,60510,279525,63095,40.8,41,69553,86778,397375,45285,352110,49390,85375,202225
789,Halifax,44.6509,-63.5923,Nova Scotia,municipal [12020],,2013,Total violent Criminal Code violations [100],,,Halifax,403131.0,187338.0,73.4,60510,279525,63095,40.8,41,69553,86778,397375,45285,352110,49390,85375,202225
790,Halifax,44.6509,-63.5923,Nova Scotia,municipal [12020],,2013,Total property crime violations [200],,,Halifax,403131.0,187338.0,73.4,60510,279525,63095,40.8,41,69553,86778,397375,45285,352110,49390,85375,202225
791,Halifax,44.6509,-63.5923,Nova Scotia,municipal [12020],,2013,Total other Criminal Code violations [300],,,Halifax,403131.0,187338.0,73.4,60510,279525,63095,40.8,41,69553,86778,397375,45285,352110,49390,85375,202225
792,Hantsport,45.0664,-64.1796,Nova Scotia,municipal [12021],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,West Hants,15368.0,7175.0,12.4,2435,9965,2970,43.5,46.6,62087,74853,15345,530,14815,3080,3050,6780
793,Hantsport,45.0664,-64.1796,Nova Scotia,municipal [12021],,2013,Total violent Criminal Code violations [100],,,West Hants,15368.0,7175.0,12.4,2435,9965,2970,43.5,46.6,62087,74853,15345,530,14815,3080,3050,6780
794,Hantsport,45.0664,-64.1796,Nova Scotia,municipal [12021],,2013,Total property crime violations [200],,,West Hants,15368.0,7175.0,12.4,2435,9965,2970,43.5,46.6,62087,74853,15345,530,14815,3080,3050,6780
795,Hantsport,45.0664,-64.1796,Nova Scotia,municipal [12021],,2013,Total other Criminal Code violations [300],,,West Hants,15368.0,7175.0,12.4,2435,9965,2970,43.5,46.6,62087,74853,15345,530,14815,3080,3050,6780
796,Kentville,45.0771,-64.4943,Nova Scotia,municipal [12023],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",497.0,7935.49,Kentville,6271.0,2891.0,363.3,995,3875,1400,44.2,45.4,56909,73023,6010,290,5720,785,1400,2825
797,Kentville,45.0771,-64.4943,Nova Scotia,municipal [12023],,2013,Total violent Criminal Code violations [100],93.0,1484.91,Kentville,6271.0,2891.0,363.3,995,3875,1400,44.2,45.4,56909,73023,6010,290,5720,785,1400,2825
798,Kentville,45.0771,-64.4943,Nova Scotia,municipal [12023],,2013,Total property crime violations [200],311.0,4965.67,Kentville,6271.0,2891.0,363.3,995,3875,1400,44.2,45.4,56909,73023,6010,290,5720,785,1400,2825
799,Kentville,45.0771,-64.4943,Nova Scotia,municipal [12023],,2013,Total other Criminal Code violations [300],93.0,1484.91,Kentville,6271.0,2891.0,363.3,995,3875,1400,44.2,45.4,56909,73023,6010,290,5720,785,1400,2825
800,Lunenburg,44.378,-64.3144,Nova Scotia,municipal [12029],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Lunenburg,24863.0,14038.0,14.1,3015,15860,5985,47.2,51.8,58624,71733,24710,230,24480,5515,5080,11100
801,Lunenburg,44.378,-64.3144,Nova Scotia,municipal [12029],,2013,Total violent Criminal Code violations [100],,,Lunenburg,24863.0,14038.0,14.1,3015,15860,5985,47.2,51.8,58624,71733,24710,230,24480,5515,5080,11100
802,Lunenburg,44.378,-64.3144,Nova Scotia,municipal [12029],,2013,Total property crime violations [200],,,Lunenburg,24863.0,14038.0,14.1,3015,15860,5985,47.2,51.8,58624,71733,24710,230,24480,5515,5080,11100
803,Lunenburg,44.378,-64.3144,Nova Scotia,municipal [12029],,2013,Total other Criminal Code violations [300],,,Lunenburg,24863.0,14038.0,14.1,3015,15860,5985,47.2,51.8,58624,71733,24710,230,24480,5515,5080,11100
804,Middleton,44.9455,-65.07,Nova Scotia,municipal [12031],,2013,"Total, all Criminal Code violations (excluding traffic) [50]",,,Middleton,1832.0,995.0,329.1,225,1035,565,48.6,51.5,40896,52241,1750,40,1710,300,440,780
805,Middleton,44.9455,-65.07,Nova Scotia,municipal [12031],,2013,Total violent Criminal Code violations [100],,,Middleton,1832.0,995.0,329.1,225,1035,565,48.6,51.5,40896,52241,1750,40,1710,300,440,780
806,Middleton,44.9455,-65.07,Nova Scotia,municipal [12031],,2013,Total property crime violations [200],,,Middleton,1832.0,995.0,329.1,225,1035,565,48.6,51.5,40896,52241,1750,40,1710,300,440,780
