CITY,Latitude,Longitude,PROVINCE,,,YEAR,VIOLATIONS,INCIDENTS,RATES
Digby,44.6222,-65.7566,Nova Scotia,Royal Canadian Mounted Police,municipal [12711],2010,Total property crime violations [200],101,4656.52
Digby,44.6222,-65.7566,Nova Scotia,Royal Canadian Mounted Police,municipal [12711],2010,Total other Criminal Code violations [300],56,2581.83
Parrsboro,45.4057,-64.3259,Nova Scotia,Royal Canadian Mounted Police,municipal [12712],2010,"Total, all Criminal Code violations (excluding traffic) [50]",168,12546.68
Parrsboro,45.4057,-64.3259,Nova Scotia,Royal Canadian Mounted Police,municipal [12712],2010,Total violent Criminal Code violations [100],38,2837.94
Parrsboro,45.4057,-64.3259,Nova Scotia,Royal Canadian Mounted Police,municipal [12712],2010,Total property crime violations [200],104,7766.99
Parrsboro,45.4057,-64.3259,Nova Scotia,Royal Canadian Mounted Police,municipal [12712],2010,Total other Criminal Code violations [300],26,1941.75
Tantallon,44.6642,-63.8957,Nova Scotia,Royal Canadian Mounted Police,rural [12715],2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Tantallon,44.6642,-63.8957,Nova Scotia,Royal Canadian Mounted Police,rural [12715],2010,Total violent Criminal Code violations [100],,
Tantallon,44.6642,-63.8957,Nova Scotia,Royal Canadian Mounted Police,rural [12715],2010,Total property crime violations [200],,
Tantallon,44.6642,-63.8957,Nova Scotia,Royal Canadian Mounted Police,rural [12715],2010,Total other Criminal Code violations [300],,
Kings County,44.929,-64.5746,Nova Scotia,Royal Canadian Mounted Police,rural [12720],2010,"Total, all Criminal Code violations (excluding traffic) [50]",3916,7036.21
Kings County,44.929,-64.5746,Nova Scotia,Royal Canadian Mounted Police,rural [12720],2010,Total violent Criminal Code violations [100],783,1406.88
Kings County,44.929,-64.5746,Nova Scotia,Royal Canadian Mounted Police,rural [12720],2010,Total property crime violations [200],2577,4630.31
Kings County,44.929,-64.5746,Nova Scotia,Royal Canadian Mounted Police,rural [12720],2010,Total other Criminal Code violations [300],556,999.01
Kingston,44.9917,-64.9394,Nova Scotia,Royal Canadian Mounted Police,rural [12721],2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Kingston,44.9917,-64.9394,Nova Scotia,Royal Canadian Mounted Police,rural [12721],2010,Total violent Criminal Code violations [100],,
Kingston,44.9917,-64.9394,Nova Scotia,Royal Canadian Mounted Police,rural [12721],2010,Total property crime violations [200],,
Kingston,44.9917,-64.9394,Nova Scotia,Royal Canadian Mounted Police,rural [12721],2010,Total other Criminal Code violations [300],,
Queens County,44.2372,-64.98,Nova Scotia,Royal Canadian Mounted Police,rural [12723],2010,"Total, all Criminal Code violations (excluding traffic) [50]",583,5186.83
Queens County,44.2372,-64.98,Nova Scotia,Royal Canadian Mounted Police,rural [12723],2010,Total violent Criminal Code violations [100],166,1476.87
Queens County,44.2372,-64.98,Nova Scotia,Royal Canadian Mounted Police,rural [12723],2010,Total property crime violations [200],320,2846.98
Queens County,44.2372,-64.98,Nova Scotia,Royal Canadian Mounted Police,rural [12723],2010,Total other Criminal Code violations [300],97,862.99
Lunenburg,44.378,-64.3144,Nova Scotia,Royal Canadian Mounted Police,rural [12724],2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Lunenburg,44.378,-64.3144,Nova Scotia,Royal Canadian Mounted Police,rural [12724],2010,Total violent Criminal Code violations [100],,
Lunenburg,44.378,-64.3144,Nova Scotia,Royal Canadian Mounted Police,rural [12724],2010,Total property crime violations [200],,
Lunenburg,44.378,-64.3144,Nova Scotia,Royal Canadian Mounted Police,rural [12724],2010,Total other Criminal Code violations [300],,
Meteghan (Clare),44.1875,-66.1623,Nova Scotia,Royal Canadian Mounted Police,rural [12726],2010,"Total, all Criminal Code violations (excluding traffic) [50]",197,2312.48
Meteghan (Clare),44.1875,-66.1623,Nova Scotia,Royal Canadian Mounted Police,rural [12726],2010,Total violent Criminal Code violations [100],73,856.91
Meteghan (Clare),44.1875,-66.1623,Nova Scotia,Royal Canadian Mounted Police,rural [12726],2010,Total property crime violations [200],100,1173.85
Meteghan (Clare),44.1875,-66.1623,Nova Scotia,Royal Canadian Mounted Police,rural [12726],2010,Total other Criminal Code violations [300],24,281.72
Sheet Harbour,44.9177,-62.5282,Nova Scotia,Royal Canadian Mounted Police,rural [12735],2010,"Total, all Criminal Code violations (excluding traffic) [50]",,
Sheet Harbour,44.9177,-62.5282,Nova Scotia,Royal Canadian Mounted Police,rural [12735],2010,Total violent Criminal Code violations [100],,
Sheet Harbour,44.9177,-62.5282,Nova Scotia,Royal Canadian Mounted Police,rural [12735],2010,Total property crime violations [200],,
Sheet Harbour,44.9177,-62.5282,Nova Scotia,Royal Canadian Mounted Police,rural [12735],2010,Total other Criminal Code violations [300],,
Shelburne,43.7633,-65.3235,Nova Scotia,Royal Canadian Mounted Police,rural [12736],2010,"Total, all Criminal Code violations (excluding traffic) [50]",261,5053.24
Shelburne,43.7633,-65.3235,Nova Scotia,Royal Canadian Mounted Police,rural [12736],2010,Total violent Criminal Code violations [100],85,1645.69
Shelburne,43.7633,-65.3235,Nova Scotia,Royal Canadian Mounted Police,rural [12736],2010,Total property crime violations [200],127,2458.86
Shelburne,43.7633,-65.3235,Nova Scotia,Royal Canadian Mounted Police,rural [12736],2010,Total other Criminal Code violations [300],49,948.69
Windsor,44.9903,-64.131,Nova Scotia,Royal Canadian Mounted Police,municipal [12744],2010,"Total, all Criminal Code violations (excluding traffic) [50]",491,12783.13
Windsor,44.9903,-64.131,Nova Scotia,Royal Canadian Mounted Police,municipal [12744],2010,Total violent Criminal Code violations [100],124,3228.33
Windsor,44.9903,-64.131,Nova Scotia,Royal Canadian Mounted Police,municipal [12744],2010,Total property crime violations [200],271,7055.45
Windsor,44.9903,-64.131,Nova Scotia,Royal Canadian Mounted Police,municipal [12744],2010,Total other Criminal Code violations [300],96,2499.35
West Hants,44.9404,-64.1252,Nova Scotia,Royal Canadian Mounted Police,rural [12745],2010,"Total, all Criminal Code violations (excluding traffic) [50]",775,3650.67
West Hants,44.9404,-64.1252,Nova Scotia,Royal Canadian Mounted Police,rural [12745],2010,Total violent Criminal Code violations [100],235,1106.98
West Hants,44.9404,-64.1252,Nova Scotia,Royal Canadian Mounted Police,rural [12745],2010,Total property crime violations [200],427,2011.4
West Hants,44.9404,-64.1252,Nova Scotia,Royal Canadian Mounted Police,rural [12745],2010,Total other Criminal Code violations [300],113,532.29
Yarmouth,43.8379,-66.1197,Nova Scotia,Royal Canadian Mounted Police,rural [12747],2010,"Total, all Criminal Code violations (excluding traffic) [50]",648,3413.76
